n,size,x,y,z,vx,vy,vz,t0,st,time_end,xfinal,yfinal,zfinal,vxfinal,vyfinal,vzfinal,v_mag,target
506,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0331726162249368,-0.0884075873401452,-0.0341150411620395,0.0,3,30.65133005787101,-79.34541861,5.218426577,-26.34485706,0.0633778702099999,0.0679253959099999,-0.005280633787,0.10039999999999995,0
507,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0331990485884626,-0.0884780316328465,-0.0341422244617702,0.0,3,23.366515243056195,-9.876823615,-28.07794512,-53.85276561,0.04418550261,-0.07748788298,0.0237526223699999,0.10047999999999993,0
508,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0332254809519885,-0.0885484759255478,-0.0341694077615009,0.0,3,11.922228206019437,-57.37542116,47.50521662,-30.02478662,0.05658743265,-0.0690069450799999,-0.0214951489999999,0.10055999999999994,0
509,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0332519133155143,-0.0886189202182491,-0.0341965910612316,0.0,2,647.2588103819445,-295.2277611,256.8234185,-76.53650515,0.623026009,0.1268554149,0.01786545226,0.10063999999999992,0
510,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0332783456790402,-0.0886893645109505,-0.0342237743609623,0.0,2,625.0018173263899,-328.6308045,17.58474543,-180.4635236,0.1546748933,0.6343620387,0.1816632795,0.10072,0
511,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.033304778042566,-0.0887598088036518,-0.034250957660693,0.0,2,85.01100482638925,56.3393632,383.074675,-72.87600016,0.1970333011,-0.4690287396,0.018390968,0.10079999999999997,0
512,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0333312104060918,-0.0888302530963531,-0.0342781409604237,0.0,2,79.08786593749981,323.1605601,-244.4117259,-18.68362344,-0.05991817166,0.103253893,0.04861646713,0.10087999999999994,0
513,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0333576427696177,-0.0889006973890544,-0.0343053242601544,0.0,3,16.35270505787046,4.170327809,-24.83082333,-54.87446057,0.0871018841399999,0.0067862571289999,0.02560065272,0.10095999999999995,0
514,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0333840751331435,-0.0889711416817557,-0.0343325075598851,0.0,3,4.475659918982397,-21.83587274,71.93491568,-26.69870403,0.02441133401,-0.0902072346199999,-0.02431459724,0.10103999999999992,0
515,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0334105074966694,-0.089041585974457,-0.0343596908596158,0.0,2,78.1021761226861,405.1817549,8.302919921,-42.18205686,-0.1142766929,0.0936860633599999,0.01218071644,0.10111999999999992,0
516,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0334369398601952,-0.0891120302671583,-0.0343868741593465,0.0,2,66.25710783564796,-233.7470698,-320.3745318,-53.24122887000001,0.1849612978,0.1762679865,0.01064430534,0.1011999999999999,0
517,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0334633722237211,-0.0891824745598596,-0.0344140574590772,0.0,3,20.5524527430562,56.741063,9.958616745,43.835522870000005,-0.05795782819,-0.0510741505599999,-0.06099365779,0.1012799999999999,0
518,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0334898045872469,-0.0892529188525609,-0.034441240758808,0.0,3,8.933776817129994,-71.43772276,47.14146999,-12.93337821,0.06611972901,-0.05742217848,-0.0282644321,0.10135999999999991,0
519,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0335162369507728,-0.0893233631452622,-0.0344684240585387,0.0,3,9.94312635416648,-49.602197800000006,44.20317492,-37.18006128,0.0445410837399999,-0.07963801669,-0.01800878103,0.1014399999999999,0
520,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0335426693142986,-0.0893938074379636,-0.0344956073582694,0.0,2,21.57213561342684,352.9608391,-202.6274706,-8.376642811,-0.03670185654,0.07937775968,0.0646513794699999,0.10151999999999999,0
521,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0335691016778245,-0.0894642517306649,-0.0345227906580001,0.0,2,124.445392557871,-350.7754277,-43.168516440000005,-152.20193129999998,0.4012838143,0.2544186064,0.07562017216,0.10159999999999998,0
522,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0335955340413503,-0.0895346960233662,-0.0345499739577308,0.0,3,72.61343653935249,0.1195015763,-50.5302821,46.00481235,0.0573772956599999,0.07894438206,-0.03904624871,0.10167999999999995,0
523,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0336219664048762,-0.0896051403160675,-0.0345771572574615,0.0,1,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10175999999999996,1
524,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.033648398768402,-0.0896755846087688,-0.0346043405571922,0.0,1,835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10183999999999994,1
525,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0336748311319278,-0.0897460289014701,-0.0346315238569229,0.0,1,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1019199999999999,1
526,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0337012634954537,-0.0898164731941714,-0.0346587071566536,0.0,2,91.2309457986112,-375.5050819,142.66092070000002,-52.327218380000005,0.2913357388,-0.1029243899,0.01119822513,0.10199999999999991,0
527,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0337276958589795,-0.0898869174868727,-0.0346858904563843,0.0,1,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10207999999999988,1
528,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0337541282225054,-0.089957361779574,-0.034713073756115,0.0,3,73.6922328356488,-0.6770819667000001,84.32098991999999,3.65172312,-0.1484371488999999,-0.03074283216,0.0276628839099999,0.10215999999999989,0
529,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0337805605860312,-0.0900278060722754,-0.0347402570558458,0.0,1,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10223999999999997,1
530,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0338069929495571,-0.0900982503649767,-0.0347674403555765,0.0,3,5.440960844908324,-86.63971732,-9.017721344,13.046823240000002,0.08129537038,-0.0349116330699999,-0.0352713403899999,0.10232,0
531,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0338334253130829,-0.090168694657678,-0.0347946236553072,0.0,1,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10239999999999996,1
532,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0338598576766088,-0.0902391389503793,-0.0348218069550379,0.0,1,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10247999999999995,1
